"This software and accompanying CALeDNA kit is for research purposes only.  Under no circumstances shall the CALeDNA Program nor the University of California be held liable for direct, indirect, special, incidental or consequential loss or damages resulting from the use, misuse, or inability to use this software & kit.";"1. Plan and pack appropriately especially food, water, first aid kit, clothing. 2. Don’t hike at dawn or dusk 3. Make low level noise to avoid wild animals e.g. bears, rattle snakes. 4. Stay on paths until you get to a sampling site. 5. Be aware of dangers & how to avoid e.g. Giardia, poison oak, ticks. 6. Keep emergency numbers handy 7. Leave no trace.";"Enter the sampling date and time";"Where are you? ";"Where are you? /UC Natural Reserve";"Where are you? /Somewhere else";"Where are you? /Coachella Valley MSHCP site";"If at a UC Natural Reserve, select which one";"If at a CVMSHCP site, select which one ";"On your trip you'll choose a site to sample, and fill three tubes of soil from a foot apart from each other.";" The three tubes have a kit number (e.g. K0501) and letters and numbers after a dash (e.g. -A1). Enter the KIT number beginning with K.";"Select the match for the letters and numbers after the dash on your tubes.";"Now walk to the location and choose your place to sample";"Get the GPS Location of this site (you may need to put your phone in airplane mode to make this more accurate)";"_Get the GPS Location of this site (you may need to put your phone in airplane mode to make this more accurate)_latitude";"_Get the GPS Location of this site (you may need to put your phone in airplane mode to make this more accurate)_longitude";"_Get the GPS Location of this site (you may need to put your phone in airplane mode to make this more accurate)_altitude";"_Get the GPS Location of this site (you may need to put your phone in airplane mode to make this more accurate)_precision";"Confirm that the label on the tubes match the name you entered in this form.";"PUT ON FRESH GLOVES. YOU WILL NOW COLLECTING THE SAMPLES";"Avoiding large debris away, fill  3 tubes with soil or sediment from where you're standing. The tubes should be sampled from about a foot apart from each other. These are biological replicates. Screw lids on tight, and place the three tubes back in their whirlpack.";"What type of substrate did you sample? Soil or Sediment.";"Describe the habitat you are sampling from";"What depth are your samples from?";"(optional) Choose from common environmental features to describe where you sampled from. ";"(optional) Choose from common environmental features to describe where you sampled from. /Enclosed water";"(optional) Choose from common environmental features to describe where you sampled from. /Estuary (partially enclosed)";"(optional) Choose from common environmental features to describe where you sampled from. /Open water";"(optional) Choose from common environmental features to describe where you sampled from. /Reef";"(optional) Choose from common environmental features to describe where you sampled from. /Elevated ridge";"(optional) Choose from common environmental features to describe where you sampled from. /Slope/slant";"(optional) Choose from common environmental features to describe where you sampled from. /Basin/wash";"(optional) Choose from common environmental features to describe where you sampled from. /Rock mound";"(optional) Choose from common environmental features to describe where you sampled from. /Pit or ravine";"(optional) Choose from common environmental features to describe where you sampled from. /Flat land/terrace";"(optional) Choose from common environmental features to describe where you sampled from. /Rocky shore";"(optional) Choose from common environmental features to describe where you sampled from. /Beach";"(optional) Choose from common environmental features to describe where you sampled from. /Kelp forest";"(optional) Choose from common environmental features to describe where you sampled from. /Other";"If other, describe the environmental feature";"Describe the environmental setting by making selections from this list.";"Describe the environmental setting by making selections from this list./On roadside";"Describe the environmental setting by making selections from this list./On trail";"Describe the environmental setting by making selections from this list./Near (<5m) road or trail";"Describe the environmental setting by making selections from this list./Near (<5m) buildings";"Describe the environmental setting by making selections from this list./On farm";"Describe the environmental setting by making selections from this list./On garden";"Describe the environmental setting by making selections from this list./On manmade landscape";"Describe the environmental setting by making selections from this list./Near (<2m) stagnant water";"Describe the environmental setting by making selections from this list./Near (<2m) moving water";"Do you have a green soil three-way meter";"If you have a meter, take out the soil meter (if provided). Stick it about 2 inches in the ground, wait 5 minutes, and record the following:";"Light";"pH";"Moisture";"Take a photo of the environment you sampled";"(*Optional*) Regarding this site you just visited, do you have any comments or concerns to share with us?";"Thank you for collecting for CALeDNA!";"You can SUBMIT now or save as draft, then reload the form by pressing the number in the upper left corner of the form when connected to wifi, and then scroll to the bottom, uncheck 'save as draft' and press the SUBMIT button. Make sure the data are submitted by checking that the upper left number says 0 and no more unsubmitted forms are saved.";"_id";"_uuid";"_submission_time";"_validation_status";"_index"
"";"OK";"2019-11-23T12:15:00.000-08:00";"UC Natural Reserve";"1";"0";"0";" Younger Lagoon Reserve";"";"";"K0715";"L7";"";"36.95207 -122.066117 6.363826751708984 5";"36.95207";"-122.066117";"6.363826751708984";"5";"OK";"";"";"Sediment";"Frequently submerged or intertidal or marsh";"Top layer (top 3cm) soil or sediment";"Estuary (partially enclosed)";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Near (<2m) moving water";"0";"0";"0";"0";"0";"0";"0";"0";"1";"No";"";"";"";"";"";"";"";"";"41558534";"d1151a41-a0f0-430a-9096-0320371aeb53";"2019-11-23T21:29:53";"";"11"
"";"OK";"2019-11-23T12:00:00.000-08:00";"UC Natural Reserve";"1";"0";"0";" Younger Lagoon Reserve";"";"";"K0619";"K6";"";"36.949543 -122.06751 6.375789642333984 10";"36.949543";"-122.06751";"6.375789642333984";"10";"OK";"";"";"Soil";"Frequently submerged or intertidal or marsh";"Top layer (top 3cm) soil or sediment";"Estuary (partially enclosed)";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Near (<2m) stagnant water";"0";"0";"0";"0";"0";"0";"0";"1";"0";"No";"";"";"";"";"";"";"";"";"41558436";"18ae383e-273e-48d9-a707-50d3fc25beb3";"2019-11-23T21:28:51";"";"12"
"";"OK";"2019-11-24T11:30:00.000-08:00";"Somewhere else";"0";"1";"0";"";"";"";"K0665";"L7";"";"34.03295 -118.680139 6.484230041503906 5";"34.03295";"-118.680139";"6.484230041503906";"5";"OK";"";"";"Soil";"Frequently submerged or intertidal or marsh";"Top layer (top 3cm) soil or sediment";"Beach Other";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"Right next to kelp/ under kelp on the beach (Malibu lagoon)";"Near (<2m) moving water";"0";"0";"0";"0";"0";"0";"0";"0";"1";"No";"";"";"";"";"";"Malibu lagoon. Near the kelps On the beach. We collect underneath the kelp";"";"";"41605070";"f91e97ca-c6b3-4fc3-acde-d580da1514f8";"2019-11-24T19:30:08";"";"13"
"";"OK";"2019-11-24T11:50:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Fort Ord Natural Reserve";"";"";"K0578";"M8";"";"36.679329 -121.773723 46.146412734546075 24.000000000000004";"36.679329";"-121.773723";"46.146412734546075";"24.000000000000004";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Other";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Maritime chapparal";"On trail";"0";"1";"0";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"";"";"";"";"41607018";"869054df-55fd-4d5d-9c94-b13b44526a80";"2019-11-24T20:38:04";"";"14"
"";"OK";"2019-11-16T12:30:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Hastings Natural History Reservation";"";"";"K0631";"G5";"";"36.387205 -121.55008 505.6000061035156 16.63599967956543";"36.387205";"-121.55008";"505.6000061035156";"16.63599967956543";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Elevated ridge";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"15739359997211298586579-12_27_7.jpg";"";"";"";"41057155";"c715f620-33eb-43bf-9e3e-f36b332707dc";"2019-11-16T20:27:47";"";"15"
"";"OK";"2019-11-16T11:45:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Hastings Natural History Reservation";"";"";"K0631";"L7";"";"36.387205 -121.55008 505.6000061035156 16.63599967956543";"36.387205";"-121.55008";"505.6000061035156";"16.63599967956543";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Slope/slant";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"15739345410631260003046-12_2_33.jpg";"Samples taken on east-facing slope of Red Hill. GPS coordinates are not accurate.";"";"";"41063038";"dbf0ae44-cc46-4620-8ebc-fe15cfe09fd0";"2019-11-17T00:12:05";"";"16"
"";"OK";"2019-11-23T11:45:00.000-08:00";"UC Natural Reserve";"1";"0";"0";" Younger Lagoon Reserve";"";"";"K0615";"E4";"";"36.95047 -122.067053 3.4811973571777344 10";"36.95047";"-122.067053";"3.4811973571777344";"10";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Beach";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"5A3A7549-AF3E-45F9-988B-FA0B61FD0EF2-11_53_40.jpeg";"";"";"";"41559155";"67c43869-e207-4b8a-872a-adf6237bc19f";"2019-11-23T21:47:53";"";"17"
"";"OK";"2019-11-23T12:30:00.000-08:00";"UC Natural Reserve";"1";"0";"0";" Younger Lagoon Reserve";"";"";"K0612";"M8";"";"36.950668 -122.066368 -50.10662841796875 3.2160000801086426";"36.950668";"-122.066368";"-50.10662841796875";"3.2160000801086426";"OK";"";"";"Sediment";"Frequently submerged or intertidal or marsh";"Top layer (top 3cm) soil or sediment";"Estuary (partially enclosed)";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Near (<2m) moving water";"0";"0";"0";"0";"0";"0";"0";"0";"1";"No";"";"";"";"";"15745405926631841719158338014561-12_23_21.jpg";"Bird feather";"";"";"41559084";"eb066bf4-b071-47f0-8beb-da10670a1cc9";"2019-11-23T21:45:34";"";"18"
"";"OK";"2019-11-23T12:15:00.000-08:00";"UC Natural Reserve";"1";"0";"0";" Younger Lagoon Reserve";"";"";"K0615";"G5";"";"36.950923 -122.066325 -38.946533203125 3.2160000801086426";"36.950923";"-122.066325";"-38.946533203125";"3.2160000801086426";"OK";"";"";"Sediment";"Frequently submerged or intertidal or marsh";"Top layer (top 3cm) soil or sediment";"Estuary (partially enclosed)";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Near (<2m) moving water";"0";"0";"0";"0";"0";"0";"0";"0";"1";"No";"";"";"";"";"15745393606681620993004795378094-12_2_51.jpg";"Sampling on bird tracks.";"";"";"41559079";"a4cf9d45-5d23-4636-9122-ae8fc0105ae5";"2019-11-23T21:45:26";"";"19"
"";"OK";"2019-11-23T12:30:00.000-08:00";"UC Natural Reserve";"1";"0";"0";" Younger Lagoon Reserve";"";"";"K0836";"K6";"";"36.950754 -122.066419 -29.403717041015625 10.720000267028809";"36.950754";"-122.066419";"-29.403717041015625";"10.720000267028809";"OK";"";"";"Sediment";"Frequently submerged or intertidal or marsh";"Top layer (top 3cm) soil or sediment";"Estuary (partially enclosed)";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Near (<2m) moving water";"0";"0";"0";"0";"0";"0";"0";"0";"1";"No";"";"";"";"";"15745404741017267575726693699220-12_21_21.jpg";"Sandy lots of brown microalgae";"";"";"41559081";"1f9bf0b2-035d-4256-81d5-ae061382e49e";"2019-11-23T21:45:31";"";"20"
"";"OK";"2019-11-16T14:45:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Hastings Natural History Reservation";"";"";"K0631";"A1";"";"36.377995 -121.568793 471.65301513671875 17.152000427246094";"36.377995";"-121.568793";"471.65301513671875";"17.152000427246094";"OK";"";"";"Soil";"Terrestrial habitat, not submerged";"Top layer (top 3cm) soil or sediment";"Flat land/terrace Other";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"Below a big slope";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"15739435810837737195370537943996-14_33_15.jpg";"Creek at bottom of slope... below madrones on a little animal trail.  A couple of oak titmice.";"";"";"41559073";"a66fbf29-ff50-4ce3-9d67-d0941cbcd519";"2019-11-23T21:45:19";"";"21"
"";"OK";"2019-11-23T12:00:00.000-08:00";"UC Natural Reserve";"1";"0";"0";" Younger Lagoon Reserve";"";"";"K0756";"L7";"";"36.950655 -122.066526 -30.973388671875 7.504000186920166";"36.950655";"-122.066526";"-30.973388671875";"7.504000186920166";"OK";"";"";"Sediment";"Frequently submerged or intertidal or marsh";"Top layer (top 3cm) soil or sediment";"Estuary (partially enclosed) Other";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Some flow from ag";"Near (<2m) moving water";"0";"0";"0";"0";"0";"0";"0";"0";"1";"No";"";"";"";"";"15745389386871198799051938080218-11_55_46.jpg";"Lots of feathers and tracks and shoe prints. Salicornia all over lots of aquatic bugs.";"";"";"41559074";"86ffc535-7150-421a-9cec-eeea5dac4a41";"2019-11-23T21:45:22";"";"22"
"";"OK";"2019-11-16T14:15:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Hastings Natural History Reservation";"";"";"K0631";"T9";"";"36.375619 -121.54364 486.7257080078125 5.360000133514404";"36.375619";"-121.54364";"486.7257080078125";"5.360000133514404";"OK";"";"";"Sediment";"Fully submerged ";"Top layer (top 3cm) soil or sediment";"Open water Other";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Creek";"Near (<2m) moving water";"0";"0";"0";"0";"0";"0";"0";"0";"1";"No";"";"";"";"";"15739425121308806281305396130754-14_15_19.jpg";"Steelhead are present";"";"";"41559066";"7bd9fd39-e8cb-4e95-827d-fb995f360e5c";"2019-11-23T21:45:13";"";"23"
"";"OK";"2019-11-16T14:30:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Hastings Natural History Reservation";"";"";"K0636";"K6";"";"36.378402 -121.562855 452.30859375 9.64799976348877";"36.378402";"-121.562855";"452.30859375";"9.64799976348877";"OK";"";"";"Sediment";"Rarely submerged or wetland or arroyo";"Top layer (top 3cm) soil or sediment";"Other";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Dry part of finch creek";"Near (<2m) moving water";"0";"0";"0";"0";"0";"0";"0";"0";"1";"No";"";"";"";"";"15739428132857556173981456473269-14_21_35.jpg";"Dry but submerged in winter";"";"";"41559070";"64a51239-52fa-493f-8242-107632fa0e5b";"2019-11-23T21:45:15";"";"24"
"";"OK";"2019-11-23T12:15:00.000-08:00";"UC Natural Reserve";"1";"0";"0";" Younger Lagoon Reserve";"";"";"K0620";"K6";"";"36.950787 -122.066424 2.1695518493652344 5";"36.950787";"-122.066424";"2.1695518493652344";"5";"OK";"";"";"Soil";"Frequently submerged or intertidal or marsh";"Below top 3cm soil or sediment";"Other";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Wetland lagoon";"Near (<2m) stagnant water";"0";"0";"0";"0";"0";"0";"0";"1";"0";"No";"";"";"";"";"6277E860-EF96-4945-9341-D955764200D2-12_11_39.jpeg";"";"";"";"41559065";"2011e762-187e-42d8-ab92-4f7328ecc265";"2019-11-23T21:45:12";"";"25"
"";"OK";"2019-11-16T14:00:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Hastings Natural History Reservation";"";"";"K0631";"M8";"";"36.385489 -121.555225 471.1048583984375 9.64799976348877";"36.385489";"-121.555225";"471.1048583984375";"9.64799976348877";"OK";"";"";"Sediment";"Rarely submerged or wetland or arroyo";"Top layer (top 3cm) soil or sediment";"Other";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Creek";"Near (<5m) road or trail";"0";"0";"1";"0";"0";"0";"0";"0";"0";"No";"";"";"";"";"1573940986743527678254683387282-13_49_53.jpg";"Downstream of ford . Looking for fish.";"";"";"41559058";"29893c3b-d0fe-45ba-8275-f1d1dc821e16";"2019-11-23T21:45:06";"";"26"
"";"OK";"2019-11-16T14:00:00.000-08:00";"UC Natural Reserve";"1";"0";"0";"Hastings Natural History Reservation";"";"";"K0636";"L7";"";"36.375394 -121.543299 487.2017822265625 26.799999237060547";"36.375394";"-121.543299";"487.2017822265625";"26.799999237060547";"OK";"";"";"Sediment";"Rarely submerged or wetland or arroyo";"Top layer (top 3cm) soil or sediment";"Other";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"Creek";"";"";"";"";"";"";"";"";"";"";"No";"";"";"";"";"15739417057958832209868883423714-14_1_51.jpg";"Chestnut backed chickadee at Robertson creek. Still looking for fish.";"";"";"41559061";"6da9643b-35f0-404c-ad6d-eb6aeec69c52";"2019-11-23T21:45:10";"";"27"
