"taxon_id","canonical_name","zone","sand_type","habitat_type","median_tide_line","protected","location_in_harbor","location"
27987,"Cryptosporidium baileyi","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
1837988,"Achnanthes sp. CCAC 2681 B","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
168658,"Rhodoblastus","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1052145,"Namhaeicola litoreus","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
265539,"Minidiscus","Unprotected_outer_beach","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
80816,"Haliangium ochraceum","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","Low","No","Inside","Pillar Point embankment unprotected"
744461,"Pseudahrensia aquimaris","Unprotected_outer_beach","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
79874,"planctomycete str. 116","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
768507,"Cytophagales","Marsh_runoff","silt","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
168762,"Nausithoe rubra","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
1904463,"Arcobacter lekithochrous","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
308884,"Xanthonema sp. A14","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
311398,"delta proteobacterium LacK10","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
946377,"Pythium sp. CAL-2011c",,,,,,,
1530471,"delta proteobacterium FM1A-E7","Unprotected_outer_beach","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
112,"Planctomycetales","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point SMCA"
75787,"Rhodocyclaceae","Marsh_runoff","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
475964,"Caldilineaceae","Unprotected_outer_beach","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
67575,"Rheinheimera","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
156994,"Reichenbachiella agariperforans","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1537524,"Thiogranum longum","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","Low","No","Inside","Pillar Point embankment unprotected"
1233507,"Uncultured Pseudospirillum sp.","Unprotected_tidepool","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
595692,"Haloferula luteola","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
324870,"Miraciidae","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1703090,"Gemmatimonas sp. URHD0086",,,,,,,
1740263,"Crocinitomix algicola","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
1709938,"Leotiomycetes sp.","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
80864,"Comamonadaceae","Marsh_runoff","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
940145,"Flavisolibacter rigui",,,,,,,
56484,"Protomyces lactucaedebilis","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
939219,"alpha proteobacterium SCGC AAA003-F10","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
22,"Shewanella","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
456870,"Sphingomonas sp. S11-S-11","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
1582912,"Acrochaetium plumosum","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point exposed unprotected"
1285124,"Pharaxonotha floridana","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
287557,"Flavobacteriaceae bacterium 14III/A01/012","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
31357,"Acrochaetium","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1043166,"Heliocidaris crassispina","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
119541,"Rhodobaca",,,,,,,
1565006,"Flavobacterium sp. NDS_0-7","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1522127,"Catalimonadaceae","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
244698,"Gillisia","Unprotected_outer_beach","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
77638,"alpha proteobacterium MBIC3035","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
1859289,"Chishuiella sp. YIM 102668","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1209074,"Biecheleria","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
35175,"Chondracanthus canaliculatus","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1480935,"Methylobacterium sp. Pao14",,,,,,,
1470067,"Nitrosopumilus ureiphilus","Unprotected_tidepool","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
227084,"Ulvibacter litoralis","Unprotected_outer_beach","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
39226,"Proseriata","Marsh_runoff","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
933,"Thiomicrospira","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
1629812,"Amphora laevis","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
5052,"Aspergillus","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
1656173,"Coxiella endosymbiont of Ornithodoros marocanus","Unprotected_tidepool","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
1068896,"Saccharophagus sp. MM1-2b","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point exposed unprotected"
645467,"Desulfosarcina sp. SD1","Marsh_runoff","silt","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
662034,"Orthopyxis crenata","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point exposed unprotected"
1748242,"Spongiibacter taiwanensis","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
28065,"Rhodoferax","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
396811,"Fulvivirga","Unprotected_tidepool","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
1676142,"Wenzhouxiangella","Unprotected_outer_beach","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1925025,"Ponticoccus sp.","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point SMCA"
199555,"Exogone","Unprotected_tidepool","organic_sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
904708,"Arenicella","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
33065,"Lucina floridana gill symbiont","Marsh_runoff","silt","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
210735,"Roscoffia capitata","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
1676142,"Wenzhouxiangella","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point exposed unprotected"
265488,"Rhodopirellula","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
70995,"Lewinella cohaerens","Marsh_runoff","silt","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
693153,"Vibrio atlanticus","Marsh_runoff","silt","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
370292,"Thelephora ganbajun","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
1170456,"Flaviramulus aquimarinus","Unprotected_tidepool","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
1606600,"Ectocarpus sp. RCC2963","Unprotected_tidepool","sand","Exposed_intertidal","High","No","Outside","Pillar Point exposed unprotected"
227970,"Hapalidiaceae","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
2057,"Sphaerobacter thermophilus","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
529818,"Thecamonas trahens","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
164540,"Tetracladium setigerum","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
90729,"[Desulfobacterium] catecholicum","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
1639927,"Lautropia sp. CB 286320","Marsh_runoff","silt","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
939644,"gamma proteobacterium SCGC AAA007-D04","Unprotected_outer_beach","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
494432,"Octadecabacter sp. TB 71","Protected_outer_beach","sand","Exposed_intertidal","High","Yes","Outside","Pillar Point SMCA"
1583063,"Neogastroclonium subarticulatum","Protected_outer_beach","sand","Exposed_intertidal","Low","Yes","Outside","Pillar Point exposed unprotected"
959,"Bdellovibrio bacteriovorus","Unprotected_inner_beach","sand","Embayment_intertidal","High","No","Inside","Pillar Point embankment unprotected"
1519424,"Azadinium cuneatum","Unprotected_inner_beach","sand","Embayment_intertidal","Low","No","Inside","Pillar Point embankment unprotected"
97050,"Ruegeria","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
53249,"Pseudoalteromonas sp.","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
118969,"Legionellales","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
57723,"Acidobacteria","Marsh_runoff","silt","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
303,"Pseudomonas putida","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","Low","No","Inside","Pillar Point embankment unprotected"
1341550,"Cavicella subterranea","Unprotected_inner_beach","sand","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
334724,"Nitrosomonas sp. NS20","Marsh_runoff","silt","Embayment_Shoreline_and_beach","High","No","Inside","Pillar Point embankment unprotected"
382,"Sinorhizobium meliloti","Unprotected_outer_beach","sand","Exposed_intertidal","Low","No","Outside","Pillar Point exposed unprotected"
89373,"Cytophagaceae","Unprotected_outer_beach","sand","Exposed_Shoreline_and_beach","High","No","Outside","Pillar Point exposed unprotected"
